,Tarifa,Estado,Municipio,Division,Anio,Mes,Cargo,Unidades,Costo
146, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,ABRIL,Fijo,$/mes,27.78
147, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,ABRIL,Variable(Energía),$/kWh,3.699
148, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,MAYO,Fijo,$/mes,27.78
149, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,MAYO,Variable(Energía),$/kWh,3.755
150, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,JUNIO,Fijo,$/mes,27.78
151, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,JUNIO,Variable(Energía),$/kWh,3.676
152, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,JULIO,Fijo,$/mes,27.78
153, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,JULIO,Variable(Energía),$/kWh,3.746
154, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,AGOSTO,Fijo,$/mes,27.78
155, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,AGOSTO,Variable(Energía),$/kWh,3.761
156, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,SEPTIEMBRE,Fijo,$/mes,27.78
157, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,SEPTIEMBRE,Variable(Energía),$/kWh,3.776
158, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,OCTUBRE,Fijo,$/mes,27.78
159, PDBT,AGUASCALIENTES,RINCON DE ROMOS,BAJÍO,2022,OCTUBRE,Variable(Energía),$/kWh,3.786
160, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,ENERO,Fijo,$/mes,27.78
161, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,ENERO,Variable(Energía),$/kWh,3.605
162, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,FEBRERO,Fijo,$/mes,27.78
163, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,FEBRERO,Variable(Energía),$/kWh,3.626
164, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,MARZO,Fijo,$/mes,27.78
165, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,MARZO,Variable(Energía),$/kWh,3.626
166, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,ABRIL,Fijo,$/mes,27.78
167, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,ABRIL,Variable(Energía),$/kWh,3.699
168, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,MAYO,Fijo,$/mes,27.78
169, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,MAYO,Variable(Energía),$/kWh,3.755
170, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,JUNIO,Fijo,$/mes,27.78
171, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,JUNIO,Variable(Energía),$/kWh,3.676
172, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,JULIO,Fijo,$/mes,27.78
